PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
29906,bichescu2007,,NET,Narrative Exposure Therapy (NET),A,,,26,1,Not meeting PTSD criteria according to the CIDI,0.5556,5,9,,,,,,bichescu2007_NA_A_26_1
29906,bichescu2007,,Psychoeducation,Psychoeducation,B,,,26,1,Not meeting PTSD criteria according to the CIDI,0.1111,1,9,,,,,,bichescu2007_NA_B_26_1
1594681,bisson2022,ITT,Guided Self-Help (GSH),Internet-based facilitated self-help,A,,,0,1,No longer meeting DSM-5 criteria for PTSD,0.8182,63,77,,,,,,bisson2022_ITT_A_0_1
1594681,bisson2022,ITT,Guided Self-Help (GSH),Internet-based facilitated self-help,A,,,36,1,No longer meeting DSM-5 criteria for PTSD,0.8551,59,69,,,,,,bisson2022_ITT_A_36_1
1594681,bisson2022,ITT,CBT with trauma focus (CBT-TF),Trauma-focused cognitive behavioral therapy (TF-CBT),B,,,0,1,No longer meeting DSM-5 criteria for PTSD,0.8554,71,83,,,,,,bisson2022_ITT_B_0_1
1594681,bisson2022,ITT,CBT with trauma focus (CBT-TF),Trauma-focused cognitive behavioral therapy (TF-CBT),B,,,36,1,No longer meeting DSM-5 criteria for PTSD,0.9143,64,70,,,,,,bisson2022_ITT_B_36_1
25272,blanchard2003,Completer,CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0,1,Not meeting criteria for PTSD according to the CAPS,0.7619,16,21,,,,,,blanchard2003_Completer_A_0_1
25272,blanchard2003,Follow-up completer,CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,12,1,Not meeting criteria for PTSD according to the CAPS,0.8095,17,21,,,,,,blanchard2003_Follow-up completer_A_12_1
25272,blanchard2003,Completer,Supportive psychotherapy,PTSD psychotherapy,B,,,0,1,Not meeting criteria for PTSD according to the CAPS,0.4762,10,21,,,,,,blanchard2003_Completer_B_0_1
25272,blanchard2003,Follow-up completer,Supportive psychotherapy,PTSD psychotherapy,B,,,12,1,Not meeting criteria for PTSD according to the CAPS,0.4286,9,21,,,,,,blanchard2003_Follow-up completer_B_12_1
25272,blanchard2003,Completer,Waitlist,Waitlist,C,,,0,1,Not meeting criteria for PTSD according to the CAPS,0.2381,5,21,,,,,,blanchard2003_Completer_C_0_1
41533,bohus2013,ITT,DBT-PTSD,Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT),A,,,12,1,Not meeting DSM-IV PTSD criteria according to CAPS,0.3889,14,36,1,Reduction of >= 30 points on CAPS score,0.3889,14,36,bohus2013_ITT_A_12_1
41533,bohus2013,ITT,TAU waitlist,Treatment as usual (TAU),B,,,12,1,Not meeting DSM-IV PTSD criteria according to CAPS,0.1053,4,38,1,Reduction of >= 30 points on CAPS score,0.0263,1,38,bohus2013_ITT_B_12_1
1556502,bohus2020,Completer,DBT-PTSD,Dialectical Behavior Therapy (DBT) + Trauma-focused cognitive behavioral therapy (TF-CBT),A,,McNemar test for change in percentages over time; analysis of observed cases,0,1,"Symptomatic remission: no longer meeting DSM-5 diagnostic criteria vs not achieving this goal (ie, not



experiencing remission or dropping out without having



experienced remission)",0.584,52,89,1,"Reliable improvement: on CAPS-5, improvement >threshold (SD[CAPSpre] ×  √2 ×  √(1 − reliability-[CAPS]) × 1.96 = 7.29)",0.745,73,98,bohus2020_Completer_A_0_1
1556502,bohus2020,Completer,CPT,Cognitive Processing Therapy (CPT),B,,McNemar test for change in percentages over time; analysis of observed cases,0,1,"Symptomatic remission: no longer meeting DSM-5 diagnostic criteria vs not achieving this goal (ie, not



experiencing remission or dropping out without having



experienced remission)",0.407,35,86,1,"Reliable improvement: on CAPS-5, improvement >threshold (SD[CAPSpre] ×  √2 ×  √(1 − reliability-[CAPS]) × 1.96 = 7.29)",0.558,53,95,bohus2020_Completer_B_0_1
44517,bomyea2015,Completer,High Interference Control Training,Interference control training,A,,,0,1,Not meeting criteria for PTSD according to CAPS,0.77,,,1,≥80% reduction in total PTSD symptoms,0.85,,,bomyea2015_Completer_A_0_1
